id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1572,txn_p9pu5fl1a9aferpfv4000,acc_p9opotuud3tio7hht4000,6.4,2023-02-27,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1573,txn_p9pu5fl1a9aferpfv4001,acc_p9opotuud3tio7hht4000,4.08,2023-02-27,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1574,txn_p9pu5fl1a9aferpfv4002,acc_p9opotuud3tio7hht4000,7.94,2023-02-27,"Interest Charge On Purchases",Unknown,Unknown,Unknown,,,
1575,txn_p9pu5fl1a9aferpfv4003,acc_p9opotuud3tio7hht4000,7.26,2023-02-24,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1576,txn_p9pu5fl1a9aferpfv4004,acc_p9opotuud3tio7hht4000,6.67,2023-02-24,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1577,txn_p9pu5fl1a9aferpfv4005,acc_p9opotuud3tio7hht4000,7.83,2023-02-24,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1578,txn_p9pu5fl1a9aferpfv4006,acc_p9opotuud3tio7hht4000,4.08,2023-02-24,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1579,txn_p9pu5fl1a9aferpfv4007,acc_p9opotuud3tio7hht4000,4.27,2023-02-23,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1580,txn_p9pu5fl1a9aferpfv4008,acc_p9opotuud3tio7hht4000,4.08,2023-02-23,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1581,txn_p9pu5fl1a9aferpfv4009,acc_p9opotuud3tio7hht4000,7.29,2023-02-22,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1582,txn_p9pu5fl1a9aferpfv400a,acc_p9opotuud3tio7hht4000,5.08,2023-02-22,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1583,txn_p9pu5fl1a9aferpfv400b,acc_p9opotuud3tio7hht4000,4.27,2023-02-22,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1584,txn_p9pu5fl1a9aferpfv400c,acc_p9opotuud3tio7hht4000,4.27,2023-02-21,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1585,txn_p9pu5fl1q9aferpfv4000,acc_p9opotuud3tio7hht4000,8.55,2023-02-21,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1586,txn_p9pu5fl1q9aferpfv4001,acc_p9opotuud3tio7hht4000,2.98,2023-02-21,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1587,txn_p9pu5fl1q9aferpfv4002,acc_p9opotuud3tio7hht4000,5.08,2023-02-21,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1588,txn_p9pu5fl1q9aferpfv4003,acc_p9opotuud3tio7hht4000,4.27,2023-02-21,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1589,txn_p9pu5fl1q9aferpfv4004,acc_p9opotuud3tio7hht4000,9.59,2023-02-21,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1590,txn_p9pu5fl1q9aferpfv4005,acc_p9opotuud3tio7hht4000,3.36,2023-02-21,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
1591,txn_p9pu5fl1q9aferpfv4006,acc_p9opotuud3tio7hht4000,5.08,2023-02-21,"Harris Teeter #0257 Cary Nc",general,"HARRIS TEETER",organization,,,
1592,txn_p9pu5fl1q9aferpfv4007,acc_p9opotuud3tio7hht4000,4.06,2023-02-21,"Food Lion #1454 Raleigh Nc",groceries,"FOOD LION",organization,,,
1593,txn_p9pu5fl1q9aferpfv4008,acc_p9opotuud3tio7hht4000,6.48,2023-02-21,"Sheetz 0555 00005553 Cary Nc",dining,SHEETZ,organization,,,
1594,txn_p9pu5fl1q9aferpfv4009,acc_p9opotuud3tio7hht4000,-48.0,2023-02-16,"Payment Thank You",Unknown,Unknown,Unknown,,,
1595,txn_p9pu5fl1q9aferpfv400a,acc_p9opotuud3tio7hht4000,5.09,2023-02-16,"Harris Teeter #0330 Cary Nc",general,"HARRIS TEETER",organization,,,
